timestamp,game_running,gpu_utilization,gpu_memory_used,gpu_memory_total,gpu_temperature,gpu_power_draw,fan_speed,total_cpu_usage,total_memory_usage,fps_estimate
2024-11-27T15:11:46.087496,False,6.0,1723.0,8188.0,36.0,6.7,0.0,3.1,6.8,0
2024-11-27T15:11:47.709750,False,6.0,1723.0,8188.0,36.0,6.38,0.0,0.2,6.8,1
2024-11-27T15:11:49.365907,False,5.0,1723.0,8188.0,36.0,6.32,0.0,0.2,6.8,2.0
2024-11-27T15:11:51.009824,False,25.0,1738.0,8188.0,37.0,11.22,0.0,0.2,6.8,40.0
2024-11-27T15:11:52.661405,False,25.0,1729.0,8188.0,37.0,14.02,0.0,0.2,6.8,1
2024-11-27T15:11:54.314756,False,29.0,1716.0,8188.0,37.0,14.21,0.0,0.4,6.9,8.0
2024-11-27T15:11:55.954211,False,36.0,1716.0,8188.0,37.0,13.29,0.0,0.3,6.9,14.0
2024-11-27T15:11:57.589043,False,33.0,1716.0,8188.0,37.0,13.1,0.0,0.3,6.9,6.0
2024-11-27T15:11:59.205216,False,27.0,1716.0,8188.0,37.0,13.15,0.0,0.4,6.9,12.0
2024-11-27T15:12:00.818249,False,5.0,1698.0,8188.0,38.0,20.9,0.0,0.3,6.9,44.0
2024-11-27T15:12:02.433053,False,12.0,1696.0,8188.0,37.0,18.67,0.0,0.1,6.9,14.0
2024-11-27T15:12:04.061576,False,16.0,1713.0,8188.0,37.0,16.91,0.0,0.4,6.9,8.0
2024-11-27T15:12:05.671768,False,34.0,1713.0,8188.0,37.0,12.67,0.0,0.3,6.9,36.0
2024-11-27T15:12:07.341824,False,13.0,1676.0,8188.0,37.0,10.78,0.0,0.4,6.9,42.0
2024-11-27T15:12:09.009436,True,1.0,1680.0,8188.0,38.0,25.35,0.0,0.4,6.9,24.0
2024-11-27T15:12:11.087888,True,1.0,1689.0,8188.0,38.0,25.59,0.0,0.2,6.9,1
2024-11-27T15:12:11.884039,True,8.0,1834.0,8188.0,39.0,27.44,0.0,0.2,6.9,14.0
